USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        1000  0.0  1.8 1382516 93424 ?       Ssl  20:23   0:00 /usr/sbin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root         975  0.0  0.8 1336712 45116 ?       Ssl  20:23   0:03 /usr/bin/containerd
root        2938  0.0  0.4 1322148 23680 ?       Sl   21:02   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 606cbbab5967bbbaf9d369367a3affade54721de35f0bb5cf4763bccbc06137a -address /run/containerd/containerd.sock
root         996  0.0  0.4 109184 21192 ?        Ssl  20:23   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        2920  0.0  0.3 1148292 15136 ?       Sl   21:02   0:00 /usr/sbin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 2223 -container-ip 172.17.0.2 -container-port 22
root         303  0.0  0.2  31984 14992 ?        Ss   20:23   0:00 /lib/systemd/systemd-journald
root           1  0.0  0.2 101768 12868 ?        Ss   20:23   0:01 /sbin/init vultr
systemd+     461  0.0  0.2  24632 12640 ?        Ss   20:23   0:00 /lib/systemd/systemd-resolved
root        5270  0.0  0.1  14632  8868 ?        Ss   22:18   0:00 sshd: root@pts/0
root        1612  0.0  0.1  15312  8732 ?        Ss   20:27   0:00 /lib/systemd/systemd --user
root         734  0.0  0.1  99884  7572 ?        Ssl  20:23   0:00 /sbin/dhclient -4 -v -i -pf /run/dhclient.enp1s0.pid -lf /var/lib/dhcp/dhclient.enp1s0.leases -I -df /var/lib/dhcp/dhclient6.enp1s0.leases enp1s0
root         979  0.0  0.1  13352  7488 ?        Ss   20:23   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         937  0.0  0.1  13996  7108 ?        Ss   20:23   0:00 /lib/systemd/systemd-logind
root         933  0.0  0.1 220796  6876 ?        Ssl  20:23   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1627  0.0  0.1  10316  5188 tty1     S+   20:27   0:00 -bash
root        5277  0.0  0.1  10304  5160 pts/0    Ss   22:18   0:00 -bash
root         339  0.0  0.1  21524  5144 ?        Ss   20:23   0:00 /lib/systemd/systemd-udevd
root        5311  0.0  0.1  12668  5128 pts/0    S+   22:19   0:00 sudo /tmp/triage.sh
Debian-+    1488  0.0  0.0  18604  4436 ?        Ss   20:23   0:00 /usr/sbin/exim4 -bd -q30m
root        1591  0.0  0.0   7252  4420 tty1     Ss   20:26   0:00 /bin/login -p --
